symboling,normalized-losses,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,curb-weight,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,horsepower,peak-rpm,city-mpg,highway-mpg,price,car_density,brand
0,85,gas,std,4,sedan,fwd,front,96.5,175.4,65.2,54.1,2304,ohc,4,110,1bbl,3.15,3.58,9.0,86,5800,27,33,8845,268.5294826388889,honda
0,85,gas,std,4,sedan,fwd,front,96.5,175.4,62.5,54.1,2372,ohc,4,110,1bbl,3.15,3.58,9.0,86,5800,27,33,10295,250.03003794266442,honda
0,85,gas,std,4,sedan,fwd,front,96.5,175.4,65.2,54.1,2465,ohc,4,110,mpfi,3.15,3.58,9.0,101,5800,24,28,12945,250.99064016227183,honda
1,107,gas,std,2,sedan,fwd,front,96.5,169.1,66.0,51.0,2293,ohc,4,110,2bbl,3.15,3.58,9.1,100,5500,25,31,10345,248.22965547317924,honda
0,,gas,std,4,sedan,rwd,front,94.3,170.7,61.8,53.5,2337,ohc,4,111,2bbl,3.31,3.23,8.5,78,4800,24,29,6785,241.49996148908855,isuzu
1,,gas,std,2,sedan,fwd,front,94.5,155.9,63.6,52.0,1874,ohc,4,90,2bbl,3.03,3.11,9.6,70,5400,38,43,,275.1293916755603,isuzu
0,,gas,std,4,sedan,fwd,front,94.5,155.9,63.6,52.0,1909,ohc,4,90,2bbl,3.03,3.11,9.6,70,5400,38,43,,270.0851126244107,isuzu
2,,gas,std,2,hatchback,rwd,front,96.0,172.6,65.2,51.4,2734,ohc,4,119,spfi,3.43,3.23,9.2,90,5000,24,29,11048,211.56946891002198,isuzu
0,145,gas,std,4,sedan,rwd,front,113.0,199.6,69.6,52.8,4066,dohc,6,258,mpfi,3.63,4.17,8.1,176,4750,15,19,32250,180.3999134284309,jaguar
0,,gas,std,4,sedan,rwd,front,113.0,199.6,69.6,52.8,4066,dohc,6,258,mpfi,3.63,4.17,8.1,176,4750,15,19,35550,180.3999134284309,jaguar
0,,gas,std,2,sedan,rwd,front,102.0,191.7,70.6,47.8,3950,ohcv,12,326,mpfi,3.54,2.76,11.5,262,5000,13,17,36000,163.77877367088604,jaguar
1,104,gas,std,2,hatchback,fwd,front,93.1,159.1,64.2,54.1,1890,ohc,4,91,2bbl,3.03,3.15,9.0,68,5000,30,31,5195,292.37529206349205,mazda
1,104,gas,std,2,hatchback,fwd,front,93.1,159.1,64.2,54.1,1900,ohc,4,91,2bbl,3.03,3.15,9.0,68,5000,31,38,6095,290.8364747368421,mazda
1,104,gas,std,2,hatchback,fwd,front,93.1,159.1,64.2,54.1,1905,ohc,4,91,2bbl,3.03,3.15,9.0,68,5000,31,38,6795,290.07312440944884,mazda
1,113,gas,std,4,sedan,fwd,front,93.1,166.8,64.2,54.1,1945,ohc,4,91,2bbl,3.03,3.15,9.0,68,5000,31,38,6695,297.8576329048844,mazda
1,113,gas,std,4,sedan,fwd,front,93.1,166.8,64.2,54.1,1950,ohc,4,91,2bbl,3.08,3.15,9.0,68,5000,31,38,7395,297.09389538461545,mazda
3,150,gas,std,2,hatchback,rwd,front,95.3,169.0,65.7,49.6,2380,rotor,2,70,4bbl,,,9.4,101,6000,17,23,10945,231.3965042016807,mazda
3,150,gas,std,2,hatchback,rwd,front,95.3,169.0,65.7,49.6,2380,rotor,2,70,4bbl,,,9.4,101,6000,17,23,11845,231.3965042016807,mazda
3,150,gas,std,2,hatchback,rwd,front,95.3,169.0,65.7,49.6,2385,rotor,2,70,4bbl,,,9.4,101,6000,17,23,13645,230.91139622641512,mazda
3,150,gas,std,2,hatchback,rwd,front,95.3,169.0,65.7,49.6,2500,rotor,2,80,mpfi,,,9.4,135,6000,16,23,15645,220.28947200000002,mazda
1,129,gas,std,2,hatchback,fwd,front,98.8,177.8,66.5,53.7,2385,ohc,4,122,2bbl,3.39,3.39,8.6,84,4800,26,32,8845,266.21915723270445,mazda
0,115,gas,std,4,sedan,fwd,front,98.8,177.8,66.5,55.5,2410,ohc,4,122,2bbl,3.39,3.39,8.6,84,4800,26,32,8495,272.2885269709544,mazda
1,129,gas,std,2,hatchback,fwd,front,98.8,177.8,66.5,53.7,2385,ohc,4,122,2bbl,3.39,3.39,8.6,84,4800,26,32,10595,266.21915723270445,mazda
0,115,gas,std,4,sedan,fwd,front,98.8,177.8,66.5,55.5,2410,ohc,4,122,2bbl,3.39,3.39,8.6,84,4800,26,32,10245,272.2885269709544,mazda
0,115,gas,std,4,hatchback,fwd,front,98.8,177.8,66.5,55.5,2425,ohc,4,122,2bbl,3.39,3.39,8.6,84,4800,26,32,11245,270.60426804123716,mazda
0,118,gas,std,4,sedan,rwd,front,104.9,175.0,66.1,54.4,2670,ohc,4,140,mpfi,3.76,3.16,8.0,120,5000,19,27,18280,235.6823970037453,mazda
0,,diesel,std,4,sedan,rwd,front,104.9,175.0,66.1,54.4,2700,ohc,4,134,idi,3.43,3.64,22.0,72,4200,31,39,18344,233.0637037037037,mazda
-1,93,diesel,turbo,4,sedan,rwd,front,110.0,190.9,70.3,56.5,3515,ohc,5,183,idi,3.58,3.64,21.5,123,4350,22,25,25552,215.717,mercedes-benz
-1,93,diesel,turbo,4,wagon,rwd,front,110.0,190.9,70.3,58.7,3750,ohc,5,183,idi,3.58,3.64,21.5,123,4350,22,25,28248,210.0719597333333,mercedes-benz
0,93,diesel,turbo,2,hardtop,rwd,front,106.7,187.5,70.3,54.9,3495,ohc,5,183,idi,3.58,3.64,21.5,123,4350,22,25,28176,207.05311158798284,mercedes-benz
-1,93,diesel,turbo,4,sedan,rwd,front,115.6,202.6,71.7,56.3,3770,ohc,5,183,idi,3.58,3.64,21.5,123,4350,22,25,31600,216.9330095490716,mercedes-benz
-1,,gas,std,4,sedan,rwd,front,115.6,202.6,71.7,56.5,3740,ohcv,8,234,mpfi,3.46,3.1,8.3,155,4750,16,18,34184,219.44992780748663,mercedes-benz
3,142,gas,std,2,convertible,rwd,front,96.6,180.3,70.5,50.8,3685,ohcv,8,234,mpfi,3.46,3.1,8.3,155,4750,16,18,35056,175.2310502035278,mercedes-benz
0,,gas,std,4,sedan,rwd,front,120.9,208.1,71.7,56.7,3900,ohcv,8,308,mpfi,3.8,3.35,8.0,184,4500,14,16,40960,216.9250407692308,mercedes-benz
1,,gas,std,2,hardtop,rwd,front,112.0,199.2,72.0,55.4,3715,ohcv,8,304,mpfi,3.8,3.35,8.0,184,4500,14,16,45400,213.88128129205919,mercedes-benz
1,,gas,turbo,2,hatchback,rwd,front,102.7,178.4,68.0,54.8,2910,ohc,4,140,mpfi,3.78,3.12,8.0,175,5000,19,24,16503,228.45008934707903,mercury
2,161,gas,std,2,hatchback,fwd,front,93.7,157.3,64.4,50.8,1918,ohc,4,92,2bbl,2.97,3.23,9.4,68,5500,37,41,5389,268.3055766423358,mitsubishi
2,161,gas,std,2,hatchback,fwd,front,93.7,157.3,64.4,50.8,1944,ohc,4,92,2bbl,2.97,3.23,9.4,68,5500,31,38,6189,264.71712757201647,mitsubishi
2,161,gas,std,2,hatchback,fwd,front,93.7,157.3,64.4,50.8,2004,ohc,4,92,2bbl,2.97,3.23,9.4,68,5500,31,38,6669,256.7914650698603,mitsubishi
1,161,gas,turbo,2,hatchback,fwd,front,93.0,157.3,63.8,50.8,2145,ohc,4,98,spdi,3.03,3.39,7.6,102,5500,24,30,7689,237.67626666666663,mitsubishi
3,153,gas,turbo,2,hatchback,fwd,front,96.3,173.0,65.4,49.4,2370,ohc,4,110,spdi,3.17,3.46,7.5,116,5500,23,30,9959,235.83184810126582,mitsubishi
3,153,gas,std,2,hatchback,fwd,front,96.3,173.0,65.4,49.4,2328,ohc,4,122,2bbl,3.35,3.46,8.5,88,5000,25,32,8499,240.08654639175256,mitsubishi
3,,gas,turbo,2,hatchback,fwd,front,95.9,173.2,66.3,50.2,2833,ohc,4,156,spdi,3.58,3.86,7.0,145,5000,19,24,12629,203.4785146487822,mitsubishi
3,,gas,turbo,2,hatchback,fwd,front,95.9,173.2,66.3,50.2,2921,ohc,4,156,spdi,3.59,3.86,7.0,145,5000,19,24,14869,197.34838479972612,mitsubishi
3,,gas,turbo,2,hatchback,fwd,front,95.9,173.2,66.3,50.2,2926,ohc,4,156,spdi,3.59,3.86,7.0,145,5000,19,24,14489,197.01115242652085,mitsubishi
1,125,gas,std,4,sedan,fwd,front,96.3,172.4,65.4,51.6,2365,ohc,4,122,2bbl,3.35,3.46,8.5,88,5000,25,32,6989,245.99912727272732,mitsubishi
1,125,gas,std,4,sedan,fwd,front,96.3,172.4,65.4,51.6,2405,ohc,4,122,2bbl,3.35,3.46,8.5,88,5000,25,32,8189,241.90766569646573,mitsubishi
1,125,gas,turbo,4,sedan,fwd,front,96.3,172.4,65.4,51.6,2403,ohc,4,110,spdi,3.17,3.46,7.5,116,5500,23,30,9279,242.1090037453184,mitsubishi
-1,137,gas,std,4,sedan,fwd,front,96.3,172.4,65.4,51.6,2403,ohc,4,110,spdi,3.17,3.46,7.5,116,5500,23,30,9279,242.1090037453184,mitsubishi
1,128,gas,std,2,sedan,fwd,front,94.5,165.3,63.8,54.5,1889,ohc,4,97,2bbl,3.15,3.29,9.4,69,5200,31,37,5499,304.2692588671255,nissan
1,128,diesel,std,2,sedan,fwd,front,94.5,165.3,63.8,54.5,2017,ohc,4,103,idi,2.99,3.47,21.9,55,4800,45,50,7099,284.96015369360435,nissan
1,128,gas,std,2,sedan,fwd,front,94.5,165.3,63.8,54.5,1918,ohc,4,97,2bbl,3.15,3.29,9.4,69,5200,31,37,6649,299.66873305526593,nissan
1,122,gas,std,4,sedan,fwd,front,94.5,165.3,63.8,54.5,1938,ohc,4,97,2bbl,3.15,3.29,9.4,69,5200,31,37,6849,296.5761764705882,nissan
1,103,gas,std,4,wagon,fwd,front,94.5,170.2,63.8,53.5,2024,ohc,4,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7349,287.0275,nissan
1,128,gas,std,2,sedan,fwd,front,94.5,165.3,63.8,54.5,1951,ohc,4,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7299,294.60001537672986,nissan
1,128,gas,std,2,hatchback,fwd,front,94.5,165.6,63.8,53.3,2028,ohc,4,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7799,277.67723076923073,nissan
1,122,gas,std,4,sedan,fwd,front,94.5,165.3,63.8,54.5,1971,ohc,4,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7499,291.6106697108067,nissan
1,103,gas,std,4,wagon,fwd,front,94.5,170.2,63.8,53.5,2037,ohc,4,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7999,285.19570937653407,nissan
2,168,gas,std,2,hardtop,fwd,front,95.1,162.4,63.8,53.3,2008,ohc,4,97,2bbl,3.15,3.29,9.4,69,5200,31,37,8249,275.0237529880478,nissan
0,106,gas,std,4,hatchback,fwd,front,97.2,173.4,65.2,54.7,2324,ohc,4,120,2bbl,3.33,3.47,8.5,97,5200,27,34,8949,266.1018485370052,nissan
0,106,gas,std,4,sedan,fwd,front,97.2,173.4,65.2,54.7,2302,ohc,4,120,2bbl,3.33,3.47,8.5,97,5200,27,34,9549,268.6449591659427,nissan
0,128,gas,std,4,sedan,fwd,front,100.4,181.7,66.5,55.1,3095,ohcv,6,181,mpfi,3.43,3.27,9.0,152,5200,17,22,13499,215.1134264943457,nissan
0,108,gas,std,4,wagon,fwd,front,100.4,184.6,66.5,56.1,3296,ohcv,6,181,mpfi,3.43,3.27,9.0,152,5200,17,22,14399,208.94356492718447,nissan
0,108,gas,std,4,sedan,fwd,front,100.4,184.6,66.5,55.1,3060,ohcv,6,181,mpfi,3.43,3.27,9.0,152,5200,19,25,13499,221.04643464052288,nissan
3,194,gas,std,2,hatchback,rwd,front,91.3,170.7,67.9,49.7,3071,ohcv,6,181,mpfi,3.43,3.27,9.0,160,5200,19,25,17199,187.57712178443504,nissan
3,194,gas,turbo,2,hatchback,rwd,front,91.3,170.7,67.9,49.7,3139,ohcv,6,181,mpfi,3.43,3.27,7.8,200,5200,17,23,19699,183.51364797706276,nissan
1,231,gas,std,2,hatchback,rwd,front,99.2,178.5,67.9,49.7,3139,ohcv,6,181,mpfi,3.43,3.27,9.0,160,5200,19,25,18399,191.8991573749602,nissan
0,161,gas,std,4,sedan,rwd,front,107.9,186.7,68.4,56.7,3020,l,4,120,mpfi,3.46,3.19,8.4,97,5000,19,24,11900,239.7598927152318,peugot
0,161,diesel,turbo,4,sedan,rwd,front,107.9,186.7,68.4,56.7,3197,l,4,152,idi,3.7,3.52,21.0,95,4150,28,33,13200,226.485729121051,peugot
0,,gas,std,4,wagon,rwd,front,114.2,198.9,68.4,58.7,3230,l,4,120,mpfi,3.46,3.19,8.4,97,5000,19,24,12440,247.24440000000004,peugot
0,,diesel,turbo,4,wagon,rwd,front,114.2,198.9,68.4,58.7,3430,l,4,152,idi,3.7,3.52,21.0,95,4150,25,25,13860,232.82781690962102,peugot
0,161,gas,std,4,sedan,rwd,front,107.9,186.7,68.4,56.7,3075,l,4,120,mpfi,3.46,2.19,8.4,95,5000,19,24,15580,235.47150439024392,peugot
0,161,diesel,turbo,4,sedan,rwd,front,107.9,186.7,68.4,56.7,3252,l,4,152,idi,3.7,3.52,21.0,95,4150,28,33,16900,222.65525092250925,peugot
0,,gas,std,4,wagon,rwd,front,114.2,198.9,68.4,56.7,3285,l,4,120,mpfi,3.46,2.19,8.4,95,5000,19,24,16695,234.82188493150687,peugot
0,,diesel,turbo,4,wagon,rwd,front,114.2,198.9,68.4,58.7,3485,l,4,152,idi,3.7,3.52,21.0,95,4150,25,25,17075,229.15334634146345,peugot
0,161,gas,std,4,sedan,rwd,front,107.9,186.7,68.4,56.7,3075,l,4,120,mpfi,3.46,3.19,8.4,97,5000,19,24,16630,235.47150439024392,peugot
0,161,diesel,turbo,4,sedan,rwd,front,107.9,186.7,68.4,56.7,3252,l,4,152,idi,3.7,3.52,21.0,95,4150,28,33,17950,222.65525092250925,peugot
0,161,gas,turbo,4,sedan,rwd,front,108.0,186.7,68.3,56.0,3130,l,4,134,mpfi,3.61,3.21,7.0,142,5600,18,24,18150,228.14382108626197,peugot
1,119,gas,std,2,hatchback,fwd,front,93.7,157.3,63.8,50.8,1918,ohc,4,90,2bbl,2.97,3.23,9.4,68,5500,37,41,5572,265.8058352450469,plymouth
1,119,gas,turbo,2,hatchback,fwd,front,93.7,157.3,63.8,50.8,2128,ohc,4,98,spdi,3.03,3.39,7.6,102,5500,24,30,7957,239.57499624060148,plymouth
1,154,gas,std,4,hatchback,fwd,front,93.7,157.3,63.8,50.6,1967,ohc,4,90,2bbl,2.97,3.23,9.4,68,5500,31,38,6229,258.16392679206916,plymouth
1,154,gas,std,4,sedan,fwd,front,93.7,167.3,63.8,50.8,1989,ohc,4,90,2bbl,2.97,3.23,9.4,68,5500,31,38,6692,272.612364002011,plymouth
1,154,gas,std,4,sedan,fwd,front,93.7,167.3,63.8,50.8,2191,ohc,4,98,2bbl,2.97,3.23,9.4,68,5500,31,38,7609,247.4787731629393,plymouth
-1,74,gas,std,4,wagon,fwd,front,103.3,174.6,64.6,59.8,2535,ohc,4,122,2bbl,3.35,3.46,8.5,88,5000,24,30,8921,266.0724923076923,plymouth
3,,gas,turbo,2,hatchback,rwd,front,95.9,173.2,66.3,50.2,2818,ohc,4,156,spdi,3.59,3.86,7.0,145,5000,19,24,12764,204.56161533002128,plymouth
3,186,gas,std,2,hatchback,rwd,front,94.5,168.9,68.3,50.2,2778,ohc,4,151,mpfi,3.94,3.11,9.5,143,5500,19,27,22018,208.45956587473003,porsche
3,,gas,std,2,hardtop,rwd,rear,89.5,168.9,65.0,51.6,2756,ohcf,6,194,mpfi,3.74,2.9,9.5,207,5900,17,25,32528,205.54811320754717,porsche
3,,gas,std,2,hardtop,rwd,rear,89.5,168.9,65.0,51.6,2756,ohcf,6,194,mpfi,3.74,2.9,9.5,207,5900,17,25,34028,205.54811320754717,porsche
3,,gas,std,2,convertible,rwd,rear,89.5,168.9,65.0,51.6,2800,ohcf,6,194,mpfi,3.74,2.9,9.5,207,5900,17,25,37028,202.31807142857141,porsche
1,,gas,std,2,hatchback,rwd,front,98.4,175.7,72.3,50.5,3366,dohcv,8,203,mpfi,3.94,3.11,10.0,288,5750,17,28,,190.58438948306593,porsche
0,,gas,std,4,wagon,fwd,front,96.1,181.5,66.5,55.2,2579,ohc,4,132,mpfi,3.46,3.9,8.7,,,23,31,9295,258.3366421093447,renault
2,,gas,std,2,hatchback,fwd,front,96.1,176.8,66.6,50.5,2460,ohc,4,132,mpfi,3.46,3.9,8.7,,,23,31,9895,241.72009756097557,renault
3,150,gas,std,2,hatchback,fwd,front,99.1,186.6,66.5,56.1,2658,ohc,4,121,mpfi,3.54,3.07,9.31,110,5250,21,28,11850,261.90341986455985,saab
2,104,gas,std,4,sedan,fwd,front,99.1,186.6,66.5,56.1,2695,ohc,4,121,mpfi,3.54,3.07,9.3,110,5250,21,28,12170,258.3077142857143,saab
3,150,gas,std,2,hatchback,fwd,front,99.1,186.6,66.5,56.1,2707,ohc,4,121,mpfi,2.54,2.07,9.3,110,5250,21,28,15040,257.16264868858514,saab
2,104,gas,std,4,sedan,fwd,front,99.1,186.6,66.5,56.1,2758,ohc,4,121,mpfi,3.54,3.07,9.3,110,5250,21,28,15510,252.4072842639594,saab
3,150,gas,turbo,2,hatchback,fwd,front,99.1,186.6,66.5,56.1,2808,dohc,4,121,mpfi,3.54,3.07,9.0,160,5500,19,26,18150,247.91285256410256,saab
2,104,gas,turbo,4,sedan,fwd,front,99.1,186.6,66.5,56.1,2847,dohc,4,121,mpfi,3.54,3.07,9.0,160,5500,19,26,18620,244.5167860906217,saab
2,83,gas,std,2,hatchback,fwd,front,93.7,156.9,63.4,53.7,2050,ohcf,4,97,2bbl,3.62,2.36,9.0,69,4900,31,36,5118,260.57492780487803,subaru
2,83,gas,std,2,hatchback,fwd,front,93.7,157.9,63.6,53.7,2120,ohcf,4,108,2bbl,3.62,2.64,8.7,73,4400,26,31,7053,254.37690000000003,subaru
2,83,gas,std,2,hatchback,4wd,front,93.3,157.3,63.8,55.7,2240,ohcf,4,108,2bbl,3.62,2.64,8.7,73,4400,26,31,7603,249.54942767857142,subaru
0,102,gas,std,4,sedan,fwd,front,97.2,172.0,65.4,52.5,2145,ohcf,4,108,2bbl,3.62,2.64,9.5,82,4800,32,37,7126,275.32027972027976,subaru
0,102,gas,std,4,sedan,fwd,front,97.2,172.0,65.4,52.5,2190,ohcf,4,108,2bbl,3.62,2.64,9.5,82,4400,28,33,7775,269.6630136986302,subaru
0,102,gas,std,4,sedan,fwd,front,97.2,172.0,65.4,52.5,2340,ohcf,4,108,mpfi,3.62,2.64,9.0,94,5200,26,32,9960,252.37692307692313,subaru
0,102,gas,std,4,sedan,4wd,front,97.0,172.0,65.4,54.3,2385,ohcf,4,108,2bbl,3.62,2.64,9.0,82,4800,24,25,9233,256.1047547169812,subaru
0,102,gas,turbo,4,sedan,4wd,front,97.0,172.0,65.4,54.3,2510,ohcf,4,108,mpfi,3.62,2.64,7.7,111,4800,24,29,11259,243.35053386454186,subaru
0,89,gas,std,4,wagon,fwd,front,97.0,173.5,65.4,53.0,2290,ohcf,4,108,2bbl,3.62,2.64,9.0,82,4800,28,32,7463,262.6138427947599,subaru
0,89,gas,std,4,wagon,fwd,front,97.0,173.5,65.4,53.0,2455,ohcf,4,108,mpfi,3.62,2.64,9.0,94,5200,25,31,10198,244.96362525458252,subaru
0,85,gas,std,4,wagon,4wd,front,96.9,173.6,65.4,54.9,2420,ohcf,4,108,2bbl,3.62,2.64,9.0,82,4800,23,29,8013,257.56357685950417,subaru
0,85,gas,turbo,4,wagon,4wd,front,96.9,173.6,65.4,54.9,2650,ohcf,4,108,mpfi,3.62,2.64,7.7,111,4800,23,23,11694,235.20900226415097,subaru
1,87,gas,std,2,hatchback,fwd,front,95.7,158.7,63.6,54.5,1985,ohc,4,92,2bbl,3.05,3.03,9.0,62,4800,35,39,5348,277.12138035264485,toyota
1,87,gas,std,2,hatchback,fwd,front,95.7,158.7,63.6,54.5,2040,ohc,4,92,2bbl,3.05,3.03,9.0,62,4800,31,38,6338,269.6499705882353,toyota
1,74,gas,std,4,hatchback,fwd,front,95.7,158.7,63.6,54.5,2015,ohc,4,92,2bbl,3.05,3.03,9.0,62,4800,31,38,6488,272.9955037220844,toyota
0,77,gas,std,4,wagon,fwd,front,95.7,169.7,63.6,59.1,2280,ohc,4,92,2bbl,3.05,3.03,9.0,62,4800,31,37,6918,279.76384736842107,toyota
0,81,gas,std,4,wagon,4wd,front,95.7,169.7,63.6,59.1,2290,ohc,4,92,2bbl,3.05,3.03,9.0,62,4800,27,32,7898,278.5421711790393,toyota
